"patents","region","age","iscustomer"
0,"Northwest",29,0
4,"Northeast",20.5,0
7,"Northwest",33.5,0
5,"Midwest",20,1
4,"Southwest",16.5,0
3,"Northeast",23,1
1,"Southwest",22,0
3,"Northeast",21.5,0
2,"Northeast",26,1
3,"Southwest",36.5,1
4,"South",20,0
3,"Northeast",15,1
5,"Northeast",26.5,1
4,"South",26,0
3,"Northwest",19,0
3,"Northwest",32.5,1
2,"Northeast",32.5,1
4,"Northeast",25.5,1
2,"Southwest",37,0
5,"Southwest",21,0
4,"Northeast",22.5,0
4,"Northeast",24.5,1
2,"Northwest",25,0
0,"Northeast",38.5,0
7,"Northeast",22,0
7,"Northeast",21.5,0
4,"Northeast",14,1
5,"South",30,0
1,"Northwest",19.5,0
1,"Northeast",38,0
2,"Northeast",26,0
1,"Midwest",15.5,0
10,"Southwest",30.5,0
8,"Midwest",24,0
9,"Northeast",19.5,0
4,"South",22.5,0
2,"Northeast",25,1
10,"Midwest",33,1
5,"Midwest",29.5,0
1,"South",35.5,0
0,"Northeast",36.5,0
3,"Southwest",19.5,0
6,"Northeast",23,1
3,"Southwest",34.5,0
6,"Northeast",36.5,1
3,"Midwest",26.5,0
7,"Northeast",29,1
9,"Northeast",33.5,1
3,"Southwest",23.5,1
4,"Northwest",24,0
2,"Northeast",23.5,0
2,"Northeast",28.5,0
5,"Southwest",18,1
1,"Southwest",28.5,0
4,"Northwest",25,0
1,"Midwest",39.5,0
2,"Midwest",25,0
4,"Midwest",19,0
4,"South",20,0
6,"Northeast",21.5,0
4,"South",22,0
6,"Northeast",27.5,1
4,"Southwest",21,0
2,"Southwest",16,0
7,"Northwest",37.5,0
3,"Northeast",20.5,0
3,"Northeast",24,0
3,"Northeast",23,0
3,"Northeast",23,0
3,"Southwest",16,0
4,"Midwest",24,0
3,"Midwest",34.5,0
1,"Midwest",39,0
1,"Northeast",38,1
10,"Southwest",32.5,0
4,"Southwest",33.5,0
1,"Southwest",33,0
1,"Northeast",29.5,1
4,"Northeast",18,1
4,"Northeast",17.5,1
8,"Northeast",26.5,1
6,"Midwest",26.5,0
6,"Northeast",32.5,1
5,"Northeast",17.5,0
2,"Northeast",30.5,0
5,"Northeast",22,1
6,"Southwest",37.5,0
2,"Northeast",33,0
2,"Northeast",31,0
2,"Northeast",15,0
4,"South",26.5,0
7,"Northeast",24.5,1
2,"South",32,0
4,"Southwest",17,1
1,"Northeast",30.5,0
2,"Southwest",30,0
3,"Midwest",30.5,0
5,"Southwest",31,0
2,"Northeast",22,0
0,"Midwest",42,0
2,"Midwest",29.5,0
1,"Northwest",32,0
4,"Northeast",18,1
9,"Northeast",19.5,1
2,"Northwest",47,1
2,"Midwest",25,0
3,"Midwest",31.5,1
0,"South",19.5,0
5,"Northeast",25.5,1
4,"Northwest",32,0
6,"Northeast",24.5,1
3,"South",24,0
0,"Southwest",29.5,0
3,"Southwest",29.5,0
1,"Midwest",42,1
1,"Northwest",10,1
6,"Northeast",23.5,0
2,"Northeast",13,0
1,"Midwest",20.5,0
5,"Northeast",27,0
7,"Northeast",27.5,1
5,"Northeast",30.5,0
2,"Southwest",19,0
3,"Northwest",20,1
9,"Northeast",18.5,1
4,"South",16.5,1
6,"Southwest",25,0
3,"Southwest",24,0
0,"Northeast",26,0
1,"Northeast",38.5,1
4,"Northeast",30.5,1
5,"Midwest",26,0
4,"Northeast",36,0
4,"South",41,0
3,"Northeast",35.5,1
3,"South",21.5,0
1,"Northeast",29.5,1
9,"Northeast",35,0
0,"Northeast",11.5,1
5,"Southwest",27,1
2,"Northwest",17,0
0,"Northeast",34,1
4,"Northeast",25,0
6,"Northeast",23.5,1
12,"Northeast",24,1
3,"Northeast",23.5,1
5,"Midwest",22.5,1
2,"South",36.5,0
2,"Southwest",27.5,0
3,"Midwest",20,0
1,"Northeast",39.5,0
2,"Northeast",34,1
5,"Northeast",27.5,1
6,"South",26.5,0
3,"Midwest",16,0
3,"Southwest",21.5,1
2,"Northwest",18,0
3,"Northwest",17.5,0
5,"Midwest",20.5,0
2,"Southwest",21,0
3,"Northeast",32.5,0
4,"Midwest",32.5,0
5,"Southwest",22.5,0
2,"South",22.5,0
1,"Northeast",34.5,0
6,"Northeast",17.5,1
2,"Southwest",13.5,0
1,"Southwest",31,0
5,"Southwest",30,0
2,"Northeast",21,0
9,"Northwest",23,0
4,"Northeast",20,1
5,"Northwest",27,0
5,"Northeast",18.5,0
4,"Northeast",23,0
1,"South",18.5,0
4,"Northeast",18.5,1
6,"South",28.5,0
5,"Southwest",31.5,0
6,"Northeast",32,1
2,"Northeast",30.5,1
3,"Northeast",23.5,0
4,"Southwest",24.5,0
4,"Northwest",27,0
3,"Southwest",25,0
3,"Southwest",28,0
4,"Northwest",25.5,0
2,"Northeast",21,0
3,"Midwest",26,0
1,"Northeast",29,1
1,"Northeast",23,0
3,"Southwest",19,0
6,"Midwest",32,0
8,"Northeast",20,1
2,"South",17.5,0
5,"Northeast",34.5,1
3,"Midwest",41.5,0
4,"South",31,1
1,"Southwest",22.5,0
4,"Southwest",27,0
0,"South",33.5,0
3,"South",16.5,0
5,"South",21.5,0
5,"Northeast",22.5,0
5,"Midwest",15,0
4,"Northeast",15,1
2,"Northeast",41,1
1,"Midwest",19.5,0
4,"Northeast",15,1
2,"Midwest",24,0
1,"Northeast",21.5,1
2,"Northwest",11.5,0
3,"Southwest",18,0
4,"Northwest",19.5,0
5,"South",26,1
3,"Northeast",29.5,1
3,"Southwest",19,0
4,"South",37,0
3,"Northwest",34.5,0
6,"South",24.5,0
7,"Southwest",26.5,1
3,"Southwest",26.5,0
3,"Midwest",34,0
5,"South",21,0
4,"Midwest",17.5,0
10,"Southwest",34,0
6,"Southwest",28,0
0,"Southwest",26,0
3,"Northeast",44,1
2,"Northeast",36,1
4,"Northeast",21,0
3,"Northeast",29,1
4,"Northeast",22,1
2,"South",22,0
4,"Northeast",23.5,0
2,"Southwest",40.5,0
16,"South",24.5,0
5,"Northeast",33,1
9,"Northeast",22,0
9,"Southwest",27,0
2,"Midwest",32,0
2,"Southwest",33.5,0
4,"Northwest",14.5,1
5,"Northeast",24,0
2,"Midwest",21,1
2,"Northwest",40,0
6,"Northeast",18,1
2,"South",19,1
4,"Northeast",14.5,0
9,"Northeast",31,0
2,"Northeast",33,0
1,"Northeast",22.5,0
4,"Midwest",22,0
4,"Midwest",18,1
3,"South",13.5,0
11,"Southwest",34,0
3,"Northwest",40,1
2,"Southwest",16,0
9,"Northeast",25.5,1
6,"Northeast",20,0
5,"Southwest",31.5,0
7,"Southwest",24,0
4,"Northeast",30,0
0,"Northwest",41.5,0
3,"Midwest",22,1
1,"Southwest",41,1
5,"Midwest",19,1
0,"Northeast",25,0
2,"Midwest",37.5,0
3,"South",35,1
1,"Northeast",25,0
2,"Midwest",26,0
9,"Northeast",31,1
1,"Northeast",34,0
1,"Northeast",20,0
2,"Northeast",15.5,1
6,"Midwest",28,0
5,"Southwest",19,0
4,"Southwest",20.5,0
3,"Midwest",24.5,0
3,"Northwest",26.5,0
4,"Southwest",35.5,1
8,"Southwest",29,0
2,"Northeast",28.5,0
4,"Northeast",17.5,0
4,"Northwest",32.5,1
4,"Northeast",24,1
6,"South",21,0
5,"Northwest",26.5,0
0,"Northwest",12,1
5,"Northeast",27.5,1
0,"Northeast",34,1
6,"Northeast",27.5,0
3,"Northeast",22.5,0
4,"Northwest",16,0
2,"Northeast",16.5,0
3,"Northeast",36,0
1,"South",34.5,0
1,"Southwest",35,0
3,"Northeast",21,1
4,"Northeast",20.5,0
8,"Northeast",25.5,0
0,"Northeast",37,0
8,"Northwest",23,0
1,"Northwest",9,0
5,"Southwest",32,0
5,"Northeast",35.5,0
6,"South",19.5,0
4,"South",26.5,0
2,"South",34,0
9,"Northeast",20.5,1
8,"Northwest",24,0
2,"Northeast",11.5,0
3,"Midwest",24.5,0
10,"Northwest",25,0
3,"Northeast",30,0
2,"Southwest",15,0
4,"Midwest",24.5,0
3,"Northeast",21.5,0
6,"Northeast",22.5,1
5,"South",34,0
1,"Northeast",37.5,1
10,"South",33.5,0
6,"Northwest",29.5,1
5,"Southwest",32.5,0
3,"Northeast",14.5,0
5,"South",31,0
4,"Northeast",19.5,1
1,"Midwest",21.5,0
5,"Northeast",30,0
0,"Southwest",24,0
2,"Northwest",27.5,0
4,"Northeast",31,1
1,"Northeast",34,1
0,"Northeast",30.5,1
6,"Midwest",30,0
4,"Northwest",22.5,0
0,"Midwest",37.5,0
5,"South",31,1
3,"Midwest",16,0
4,"Northeast",20.5,1
6,"Northeast",34.5,1
2,"Northeast",17.5,1
1,"Midwest",32.5,0
0,"South",25.5,0
5,"Northwest",15.5,0
1,"Northeast",31.5,0
7,"Northeast",15.5,1
3,"South",32,0
4,"Northwest",21,0
5,"South",21.5,0
6,"Northeast",42.5,1
1,"Northwest",10,0
3,"Southwest",18.5,0
9,"Northeast",22.5,1
4,"Southwest",27,0
0,"Northeast",28,0
4,"Northwest",21,0
1,"Northeast",39,1
8,"Southwest",24,0
3,"Midwest",33,1
2,"Northeast",20.5,0
7,"Northeast",25,0
2,"Northwest",26,0
3,"Northeast",24.5,0
1,"Southwest",38,0
7,"South",39.5,0
7,"Southwest",24.5,1
5,"Southwest",26.5,0
1,"Midwest",33.5,0
4,"Northeast",21,1
2,"Midwest",28.5,1
6,"Midwest",18,0
2,"Southwest",26.5,0
0,"Southwest",36.5,1
1,"Southwest",20,0
3,"Northwest",26,0
4,"Midwest",28,0
4,"Midwest",34.5,0
3,"Midwest",19,0
1,"Northeast",35,0
3,"Southwest",19.5,1
5,"Northeast",20,1
6,"Southwest",28,0
2,"Northwest",37.5,0
1,"Southwest",27,0
5,"Northeast",16.5,1
7,"Southwest",24,0
3,"South",31,0
1,"Northwest",30,0
7,"Northeast",27,1
4,"Southwest",20,0
4,"Northwest",29.5,0
3,"Southwest",26.5,0
1,"Northwest",29.5,0
4,"Southwest",34,0
9,"Northeast",24.5,1
4,"Southwest",32.5,0
6,"Southwest",24,0
0,"Northwest",35.5,0
0,"Northwest",36,0
3,"South",25.5,0
5,"Southwest",32,0
5,"Northwest",26.5,1
5,"Northeast",26.5,0
8,"Northeast",27,1
5,"Midwest",28,0
1,"Southwest",33,0
1,"Southwest",33,0
9,"Northeast",34.5,0
3,"Northeast",17,0
4,"Northwest",27,0
5,"Northeast",16,0
4,"Northeast",14.5,0
1,"Northeast",38.5,0
2,"South",19.5,0
3,"Midwest",16.5,1
4,"Midwest",22.5,0
4,"Southwest",24.5,0
6,"Northeast",24.5,0
2,"Northeast",17,1
3,"Northeast",23.5,1
2,"Southwest",25,0
0,"Southwest",17.5,0
3,"Southwest",28.5,1
8,"Midwest",32.5,0
4,"Northeast",20,1
3,"Northwest",25,0
3,"Northeast",13,0
1,"South",34.5,0
9,"Northeast",31.5,1
5,"South",31,0
4,"Southwest",26.5,0
7,"Northeast",19,1
1,"Northeast",37,1
2,"South",17.5,0
1,"Midwest",26.5,0
5,"Southwest",22,1
4,"Northeast",29,0
3,"South",22,0
4,"Midwest",40,1
1,"Northeast",25,0
1,"Midwest",36.5,0
1,"Northeast",27,0
6,"Northeast",33.5,0
8,"Northwest",30,0
6,"Midwest",26.5,0
3,"Midwest",19,1
5,"Midwest",34.5,1
3,"Southwest",19.5,0
2,"Northeast",21.5,0
5,"Northeast",23,0
4,"South",19,0
8,"Southwest",31,0
5,"South",18.5,0
5,"Northwest",16.5,0
3,"Northeast",27.5,0
3,"Northeast",18.5,1
4,"Northeast",19.5,1
3,"Northeast",24,0
7,"Midwest",24,0
1,"Southwest",25,0
3,"Midwest",16,1
2,"Northwest",20,0
2,"Southwest",35.5,0
4,"Midwest",29.5,0
2,"Northeast",23.5,0
7,"Northeast",20,1
4,"Midwest",26.5,0
5,"Southwest",31,0
5,"Northeast",23,0
5,"South",24.5,0
4,"Southwest",36,0
4,"Northeast",26.5,1
8,"Northeast",21,1
4,"Midwest",24,0
8,"Northeast",34,0
5,"Midwest",16,0
2,"Southwest",22,0
5,"Northeast",25.5,0
1,"Northeast",32.5,1
6,"Northeast",22,0
3,"South",39.5,0
4,"Southwest",19.5,0
4,"Northwest",15,0
1,"Southwest",42,0
9,"Northeast",18,1
5,"Northeast",38,1
1,"Northwest",29,0
4,"Northwest",22.5,1
4,"Northeast",36,0
6,"Northeast",26.5,1
3,"South",28,0
6,"Midwest",24,0
2,"Northeast",42.5,1
6,"Southwest",17.5,0
2,"Northwest",11.5,1
4,"Northwest",16.5,0
1,"Midwest",34.5,0
6,"South",25.5,1
4,"Northwest",15,0
4,"Midwest",16,1
2,"Southwest",30.5,0
2,"Midwest",21.5,0
3,"Northeast",19.5,1
2,"Southwest",32,0
8,"Northeast",30.5,1
6,"Southwest",29,1
4,"Northeast",38.5,1
3,"Southwest",37.5,0
2,"South",15.5,0
4,"Northeast",23,0
5,"Southwest",21.5,0
7,"South",19,1
2,"Midwest",21.5,0
4,"Northwest",22.5,0
4,"Northeast",28.5,0
8,"Northeast",22,0
3,"Northeast",15.5,1
2,"Northwest",21,0
4,"Northeast",27.5,0
3,"Northwest",19,0
1,"Northwest",27.5,0
1,"South",37,0
6,"Northeast",26.5,1
4,"South",30,0
2,"South",32.5,0
3,"Southwest",16,0
3,"Northeast",25,0
1,"Northeast",37,1
12,"Midwest",30,1
4,"Southwest",17.5,0
4,"Midwest",12.5,1
4,"Northwest",29,0
3,"Southwest",28.5,1
4,"South",24.5,0
1,"Midwest",38,0
3,"Southwest",16,0
5,"Northeast",19,1
1,"Midwest",34,0
3,"Southwest",21.5,0
4,"Northwest",19,0
2,"Northeast",34.5,0
9,"Northeast",34.5,0
4,"Northeast",29.5,1
11,"Northeast",24.5,0
1,"Northeast",18.5,0
4,"Northeast",20,1
0,"Midwest",34.5,1
2,"Midwest",20.5,0
1,"Northeast",21.5,1
3,"Southwest",24.5,0
5,"Northeast",15.5,0
1,"Northeast",43,0
5,"Northeast",37,0
4,"Southwest",13.5,0
2,"Midwest",16,0
4,"Southwest",23,1
3,"Northeast",23.5,0
6,"Northeast",25,1
1,"South",35,0
4,"Northeast",19.5,0
5,"Northeast",28,1
4,"South",33.5,1
4,"Northwest",32,0
3,"Southwest",21,1
6,"Southwest",18.5,0
3,"Northeast",31.5,0
1,"Southwest",18.5,0
9,"Northeast",22,1
5,"Southwest",24,0
3,"Northeast",24.5,0
4,"Midwest",42.5,0
4,"Midwest",23,0
2,"Northeast",26.5,1
3,"South",13.5,0
10,"Southwest",36,0
5,"Northeast",21.5,0
4,"Northeast",32.5,1
6,"Midwest",22.5,0
4,"Midwest",25.5,0
3,"Southwest",29,0
1,"Northeast",34.5,0
3,"Northeast",28.5,0
4,"Northwest",30,1
2,"Northeast",29,1
2,"Northeast",16.5,0
3,"Southwest",18.5,0
5,"South",29,0
5,"Midwest",35,0
1,"Northwest",33.5,0
3,"Midwest",26,0
4,"Northeast",22,1
5,"Northeast",20,1
9,"Midwest",25,1
5,"South",20.5,0
1,"Northwest",38.5,0
1,"Northeast",32.5,1
8,"Northeast",24,0
2,"Midwest",32,0
1,"Northeast",24.5,1
5,"Southwest",20.5,0
3,"Northeast",15,0
0,"South",40,1
1,"Northeast",41.5,0
8,"Northeast",26.5,1
3,"Northeast",26.5,1
9,"Northeast",27,0
2,"Northwest",18,0
3,"South",15.5,0
2,"South",24.5,0
0,"Northwest",23,0
4,"Northeast",34.5,1
2,"Northeast",18,1
3,"Southwest",31,0
3,"Northeast",26.5,1
4,"Southwest",16,1
2,"Midwest",18.5,0
1,"Southwest",17.5,0
4,"Northeast",33.5,1
2,"Northeast",29,0
0,"Northeast",35.5,1
2,"South",18,1
3,"Midwest",41,0
1,"Midwest",35,1
5,"Northeast",24,0
5,"Northeast",23,1
2,"Northeast",27.5,0
2,"Midwest",36.5,0
2,"Northeast",15,1
3,"Northeast",26,0
2,"Northeast",12.5,1
5,"Northwest",23,0
2,"Northeast",16,1
4,"Midwest",25.5,0
4,"Northwest",24,0
5,"Northeast",24,0
3,"Northeast",22,1
3,"Midwest",31,0
5,"South",29,0
0,"Northeast",30,1
1,"Midwest",32,0
6,"Northeast",24.5,1
5,"Southwest",25,0
4,"Midwest",20,0
4,"Northeast",18.5,0
2,"South",32,0
3,"Northeast",20.5,0
5,"Midwest",31.5,1
9,"South",24.5,0
8,"South",28,1
0,"South",44,0
1,"Northeast",34.5,0
3,"Southwest",20.5,0
7,"Northeast",21.5,0
4,"Midwest",23.5,0
1,"Northeast",29.5,0
4,"Midwest",18,0
6,"Northeast",26.5,1
2,"Northwest",27.5,0
3,"Northeast",19.5,0
4,"Midwest",16,0
3,"Northeast",23,1
6,"Southwest",21.5,0
2,"South",25,0
3,"Midwest",36.5,0
3,"Southwest",21,1
4,"Northeast",33,0
2,"Northeast",32,0
3,"Northeast",14.5,1
1,"Northwest",39.5,1
0,"South",32.5,0
2,"Northeast",33,0
3,"Midwest",29.5,0
3,"Southwest",39.5,1
2,"Northeast",30.5,0
7,"Northeast",22,1
2,"Northeast",38.5,1
0,"Midwest",27.5,0
6,"Southwest",28.5,0
3,"Northwest",25,0
4,"Northwest",26,1
2,"Northwest",25,0
0,"Northeast",18.5,0
1,"Northwest",38.5,0
3,"South",27.5,0
5,"Midwest",22,0
5,"Southwest",18.5,0
6,"Northeast",17.5,1
4,"Northwest",20,1
6,"Southwest",24.5,0
5,"Midwest",33,0
3,"Southwest",16.5,0
5,"Northwest",17.5,0
4,"Northeast",31,0
5,"Midwest",35,0
2,"Southwest",29.5,0
4,"Northwest",38.5,0
2,"Northwest",21.5,1
5,"Northwest",33,1
2,"Southwest",23,0
6,"Southwest",37.5,0
4,"South",25.5,0
2,"Midwest",13.5,0
0,"Southwest",41,0
3,"Southwest",27.5,0
6,"Northwest",34.5,0
5,"South",26.5,0
1,"Midwest",38.5,0
1,"Northwest",30.5,0
4,"Midwest",26,0
1,"South",40.5,0
4,"Midwest",25.5,0
4,"Midwest",42,1
3,"Southwest",22.5,0
1,"Southwest",30,0
3,"Southwest",17,1
0,"Midwest",26,0
7,"Northeast",22.5,1
3,"Southwest",32,0
3,"Northeast",30,0
6,"Northwest",22.5,0
3,"Midwest",20,0
4,"South",30,0
1,"Southwest",19,0
6,"Northeast",26.5,1
7,"Northeast",24,0
7,"Northeast",21.5,1
1,"Northeast",17,0
3,"Northeast",14.5,1
0,"Midwest",49,1
2,"South",24.5,0
6,"Southwest",20,0
2,"Northwest",18.5,0
0,"Northeast",36.5,1
3,"Southwest",16.5,0
6,"Northeast",38.5,1
1,"Northwest",36,0
3,"Midwest",19.5,0
11,"South",36,0
3,"Northeast",31,0
3,"Northeast",22.5,0
5,"South",17.5,0
2,"Southwest",13,0
1,"Southwest",25.5,0
6,"Southwest",33.5,1
3,"Northeast",31.5,0
3,"Northeast",29.5,1
2,"Northeast",22.5,0
12,"Midwest",23.5,0
1,"Northeast",38.5,1
2,"South",14,0
7,"Southwest",26.5,0
7,"Northeast",25.5,0
2,"Northeast",37.5,1
4,"Northeast",39.5,1
2,"Southwest",14.5,0
1,"Northwest",34,0
2,"South",16,0
8,"Southwest",30.5,0
5,"Northeast",26,1
6,"Northwest",18.5,0
4,"South",23.5,0
6,"Southwest",16.5,0
4,"South",22,0
1,"Northeast",27.5,0
2,"Midwest",21,0
3,"South",23,0
5,"South",17.5,0
3,"Northwest",27.5,0
5,"Southwest",20.5,0
8,"Northeast",21.5,1
2,"Northeast",32.5,0
5,"Northwest",24,0
7,"South",23.5,1
1,"Northeast",33,1
4,"Northeast",20,1
4,"Northeast",27.5,0
4,"Northwest",18.5,0
2,"South",21.5,0
4,"Northeast",15.5,1
3,"Midwest",24.5,1
6,"South",30.5,0
3,"Northwest",19.5,0
2,"Midwest",16.5,0
2,"Northwest",22.5,0
5,"Southwest",29.5,0
8,"Southwest",34,1
1,"Northeast",21,1
4,"Midwest",22.5,0
3,"Northwest",23.5,0
4,"South",19.5,0
7,"Northeast",22,0
4,"Northwest",27,0
1,"Southwest",14,0
7,"Northeast",29,1
5,"Southwest",16.5,1
3,"South",19,0
1,"South",29.5,0
4,"Southwest",32.5,0
7,"Northwest",17,0
4,"Northeast",34,1
1,"South",37.5,0
7,"Northeast",22,1
2,"South",28.5,0
0,"Northeast",19.5,0
4,"South",37.5,1
2,"South",31.5,0
2,"Southwest",24,0
3,"Southwest",23,0
3,"Midwest",31.5,1
4,"Northeast",27,1
6,"Northwest",21.5,0
5,"Northeast",16.5,0
3,"South",28,0
5,"Northeast",24,0
3,"Northeast",17.5,0
4,"Northeast",31.5,0
0,"Northeast",26.5,0
